name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
"Zweckverband ""Kühlung"" Wasserversorgung und 
Abwasserbeseitigung","Abwassertechnische Erschließung Ostseebad Kühlungsborn (2008
bis 2011)",2008,"254,400.00"
Eberspächer Heizgeräte GmbH ,"Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Einbausätzen von Standheizungen und der Erbringung von 
damit verbundenen logistischen und sonstigen Dienstleistungen in 
17358 Torgelow, Wilhelmstr. 47, Landkreis Uecker-Randow",2008,"253,000.00"
GreenLife GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von 
Dienstleistungen für die kuststoffverarbeitende Industrie in 19057 
Schwerin, Sacktannen 1, kreisfreie Landeshauptstadt",2007,"247,500.00"
Facility Support Service GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von 
Datenverarbeitungsdienstleistungen in 18435 Stralsund, Zur 
Schwedenschanze 2, kreisfreie Stadt Stralsund",2007,"243,900.00"
"Irina Kuschpel (Besitzgesell.) Neptun 
Gesellschaft für Gastronomie mbH 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(Hotelanlage ""Nautilus"") in 18581 Neukamp, Dorfstraße 17, 
Landkreis Rügen",2007,"243,400.00"
"Stadt Lübz, Eigenbetrieb Abwasser der Stadt 
Lübz","Schmutzwasserkanalisation in Lübz; Blücherstraße und Plauer 
Chaussee",2008,"242,100.00"
"AMAS-Anlagenbau GmbH (Betriebsgesell.) D. 
Nilles-B. Stelter-R. Vieregge-H. Rumkowsk-R. 
Hartwig in AMAS-Vermö.-&Verw. GbR 
(Besitzgesell.)","Erweiterung einer Betriebsstätte des Maschinen- und Anlagenbaus 
in 19294 Neu Kaliß, Am Alten Postweg 6, Landkreis Ludwigslust",2007,"241,800.00"
WINDPARKSERVICE GmbH ,"Erweiterung einer Betriebsstätte zur Instandsetzung, Wartung und 
für den Ölservice von Windkraftanlagen in 17033 Neubrandenburg,
Am Kamp, kreisfreie Stadt Neubrandenburg",2008,"239,700.00"
Stadt Neustrelitz,"Ortsentwäserung Neustrelitz, Mischwasser- und 
Schmutzwasserkanalisation Sandberg, Gartenstraße und 
Mühlengang",2008,"238,500.00"
"Universität Rostock, Mathematisch-
Naturwissenschaftliche Fakultät, Institut für 
Physik","„Nanostrukturierte osteoinduktive Beschichtungen von 
metallischen Implantaten“ ",2008,"236,000.00"
Landeshauptstadt Schwerin,"Schlosspromenade Abschnitt 4b an der Werderstraße von der 
Kurve nördlich des Restaurants ""Wallenstein"" bis zur nördlichen 
Einfahrt am Marstall in Schwein",2008,"234,994.24"
"Britta Budeus-Wiegert & Richard Wiegert in GbR 
(Besitzgesell.) Hotel Bornmühle GmbH & Co. KG 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel und 
Restaurant) in 17094 Groß Nemerow, Bornmühle 35, Landkreis 
Müritz",2008,"234,100.00"
"Wasser- und Abwasserzweckverband 
Demmin/Altentreptow","Ortsentwässerung Altentreptow, Schmutzwasserkanalisation 
Rudolf-Breitscheid-Straße 3. BA/Feldstraße, Teetzlebener Straße/ 
Rodolf-Breitscheid-Straße 4. BA",2008,"230,700.00"
BluePoint Medical GmbH & Co. KG,"""autoklavierbarer SpO2-Sensor""",2007,"230,580.00"
Marianna von Schmidt auf Altenburg ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Campingplatz) in 17255 Wesenberg, OT Strasen, Camp am 
Ellbogensee 1, Landkreis Mecklenburg-Strelitz",2008,"229,900.00"
Dirk Machill ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Hostel) in 
18055 Rostock, August-Bebel-Straße 49 B, kreisfreie Hansestadt 
Rostock",2008,"229,100.00"
"ZV Wasserversorgung u. Abwasserbehandlung 
Rügen","AW Bergen, OT Tilzow, Dorfstraße",2008,"226,100.00"
MATEC GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Maschinen 
und Anlagen in 17192 Waren, Siegfried-Marcus-Str. 37, Landkreis 
Müritz",2007,"224,400.00"
Rhodius GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Behältern aus 
Stahl und Eisen in 18299 Laage-Kronskamp, Ernst-Heinkel-Str. 4, 
Landkreis Güstrow",2008,"223,500.00"
"Robert Krüger, Martin Röhrs, Uwe Grothkopp & 
Johannes Feistel in Grundstücks GbR 
(Vermieter) trittec AG (Mieter)","Erweiterung einer Betriebsstätte zur Herstellung von Konstruktions-
und Fertigteilelementen in 19073 Wittenförden, Nordring 22, 
Landkreis Ludwigslust",2008,"221,700.00"
Torgelower Metallwaren GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Metallwaren 
in 17358 Torgelow, Wilhelmstr. 47, Landkreis Uecker-Randow",2008,"221,500.00"
DOT GmbH,"„Entwicklung von Gerüsten für das „Tissue Engineering“ von Fett- 
und Knochengewebe“ -",2008,"214,350.00"
NTL Norddeutsche Textil Logistik GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen in 19306 Neustadt-Glewe, An der Autobahn 6, 
Landkreis Ludwigslust",2007,"214,000.00"
"Universität Rostock, Arbeitsbereich Zellbiologie, 
Orthopädische Klinik Institut für Medizinische Mik","""Implantate mit sowohl anti-mikrobiellen als auch osteoinduktiven 
Eigenschaften""",2008,"211,500.00"
MANET Marketing GmbH,„TravelConsult im Dialog“,2008,"210,010.00"
Celler Brunnenbau Finanz-Holding GmbH,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Landhotel 
Herrenhaus Bohlendorf) in 18556 Wiek, OT Bohlendorf, 
Dorfstraße, Landkreis Rügen",2008,"209,600.00"
SEETEL Hotel GmbH & Co. Betriebs KG,"Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(Strandhotel Atlantic um Villa Meeresstrand) in 17429 Seebad 
Heringsdorf/ OT Bansin, Strandpromenade 19, Landkreis 
Ostvorpommern",2007,"208,000.00"
ECS Engineering Consulting & Solutions GmbH,„Modelling Business Intelligence“,2008,"207,380.00"
"ZV Wasserversorgung/Abwasserbehandlung 
Anklam","Schmutzwasserkanalisation Anklam, Stadtgebiet ""Neuer Markt"" 
und Siedlung ""Am Umspannwerk""",2007,"205,000.00"
Fraunhofer Gesellschaft,"Zuschuss für den Ergänzungsbau für das Frauenhofer 
Anwendungszentrum für Großstrukturen in der Produktionstechnik 
in Rostock",2008,"202,500.00"
Hydyne GmbH,“Massenmarkt-Elektrolyseur“,2008,"199,990.00"
"SIV - Service für Informationsverarbeitung 
Aktiengesellschaft",„Modelling Business Intelligence - Instandhaltung“,2008,"196,820.00"
DOT GmbH,Osteokonduktive Strukturen für ein 3D-Zellkultursystem“ ,2008,"194,400.00"
"Zweckverband ""Elektronische Verwaltung in M-V""",Erstellung und Einrichtung eines zentralen landeseinheitlichen 2008 Fundsachenregisters/Fundsachendatenbank,2008,"191,199.00"
Rotaria Energie- und Umwelttechnik GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Metallerzeugnissen im Bereich der Energie- und Umwelttechnik in 
18230 Ostseebad Rerik, Straße am Zeltplatz 23, Landkreis Bad 
Doberan",2007,"191,000.00"
"Zweckverband ""Kühlung"" Wasserversorgung und 
Abwasserbeseitigung","Abwassertechnische Erschließung Bad Doberan, BA Lindenstraße 
und Waldstraße",2007,"191,000.00"
"ZV Wasserversorgung u. Abwasserbeseitigung 
Grimmen","Schmutzwasserkanalisation Stadt Grimmen, Friedrichstr., 
West/Karlstraße",2008,"189,500.00"
Skandinavian WeldTech GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Stahltragwerksystemen in 18198 Groß Schwaß, Friedrichshöhe 1, 
Landkreis Bad Doberan",2007,"187,600.00"
"Andrea Niemann (Besitzgesellschaft) Hotel-u. 
Gastronomiebetriebsgesell. ""New Orleans"" mbH 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
23966 Wismar, Runde Grube 3 und Am Lohberg 14,",2008,"186,900.00"
Drinkuth Aktiengesellschaft ,"Erweiterung einer Betriebsstätte zur Herstellung und dem Vertrieb 
von Fenstern und Türen in 19258 Boizenburg, Gülzer Straße 3, 
Landkreis Ludwigslust",2007,"186,400.00"
Timo Weisbrich Ferienpark Heidenholz,"Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(Hotelanlage ""Ferienhof Heidenholz"") in 19395 Plau, Kantor-Ehrich-
Str. 3 d, Landkreis Parchim",2007,"183,600.00"
Falko Fink ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Pension 
""Strandhaus Aurell"") in 17429 Seebad Heringsdorf OT Bansin, 
Strandpromenade 1, Landkreis Ostvorpommern",2007,"183,400.00"
Ingrid Jost-Ziegelmaier ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
17440 Lütow, OT Neuendorf, Dorfstraße 3, Landkreis 
Ostvorpommern",2007,"181,500.00"
Artcline GmbH,„Entwicklung eines Therapiemoduls zur Behandlung der Sepsis“,2008,"181,290.00"
SOJALAND GmbH,"„Entwicklung von sedimentationsfreien Sojagetränken 
verschiedener Geschmacksrichtungen“",2008,"181,080.00"
Punch Graphix Prepress Germany GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung, Herstellung und 
dem Vertrieb von Geräten und Systemen für die Druckindustrie in 
19258 Boizenburg, Gülzer Str. 15, Landkreis Ludwigslust",2007,"179,500.00"
Mühlenbäckerei GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Biobackwaren
in 19055 Schwerin, Hauptstraße 15, kreisfreie Stadt Schwerin",2007,"178,300.00"
Müritz-Wasser-/Abwasserzweckverband,"Ortsentwässerung Waren; Schmutzwasserkanalisation Strelitzer 
Str., 2. BA",2007,"178,200.00"
"ZV Wasserversorgung u. Abwasserbeseitigung 
Grimmen","Schmutzwasserkanalisation Grimmen, Abschnitt
Philipp-Müller-Straße/Geschwister-Scholl-Straße",2007,"175,800.00"
Koepke & Kasiske Möbel- und Ladenbau GmbH,"Erweiterung einer Betriebsstätte zur Herrstellung von Möbeln und 
deren Verkauf in 18574 Garz, Kirschallee 1, Landkreis Rügen",2007,"174,700.00"
"Alfred, Heidrun und Stefanie Rüßel in GbR 
Schloß Schorssow (Besitzgesell.) Hotel Schloß 
Schorssow Betriebsgesell. mbH (Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel mit 
Restaurant) in 17166 Schorssow, Am Haussee 3 - 5, Landkreis 
Güstrow",2007,"171,500.00"
"Universität Rostock, Fakultät für Informatik und 
Elektrotechnik, Institut für Informatik","Maxima - Mobile Assistenzsysteme für eXpertengestütztes 
Instandhaltungs-MAnagement ",2008,"171,125.00"
ADAM Nord GmbH,"Entw. eines Verfahrens und dessen softwaretechnische 
Umsetzung zur Überwachung und Regelung des 
Produktionsprozesses beim Rollenoffsetdruck, um die Produktivität 
des Rollenoffsetdruckprozesses in Echtzeit zu messen, zu 
analysieren und zu steuern.",2008,"170,360.00"
Dr. Sieghard Asmus ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Jugend- und 
Familienhotel mit angeschlossenem Campingplatz) in 19386 
Kreien, Am Feldweg 9, Landkreis Parchim",2007,"170,000.00"
Landeshauptstadt Schwerin ,"Radfernweg Hamburg-Rügen (Westufer am Pfaffenteich in 
Schwerin)",2008,"168,643.00"
Blisterzentrum Nord GmbH ,"Errichtung einer Betriebsstätte zur Übernahme von Dienst- und 
Versorgungsleistungen für Apotheken in 19061 Schwerin, Eckdrift 
41, kreisfreie Landeshauptstadt Schwerin",2008,"168,200.00"
WasserZweckVerband,"Ortsentwässerung Malchin, Schmutzwasserkanalisation 
Wiesenstraße und Blumenstraße",2008,"166,800.00"
Berufsförderungszentrum e.V. Ueckermünde,Umbau Stallgebäude II zur Bildungseinrichtung,2008,"163,660.00"
BASIS Computer-  Systemintegration GmbH,"""Ambient Intelligence für intelligente Umgebungen und Anwender“",2008,"160,580.00"
Kampf-Fischer Handelsgesellschaft mbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Fleisch- und 
Wurstwaren in 17438 Wolgast, Leeraner Str. 3, Landkreis 
Ostvorpommern",2007,"159,800.00"
"Marina Knaust und Roland Böttcher in GbR 
(Besitzgesell.) Strandhotel Sassnitz GmbH 
(Betriebsgesell.)","Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18546 Sassnitz, Rosenstraße 12, Landkreis Rügen",2007,"158,800.00"
"MarineSoft Entwicklungs- und 
Logistikgesellschaft mbH","„Aufgaben-Unterstützungssystem für Windenergieanlagen (Wind – 
AUS)“",2008,"157,450.00"
IT Dr. Gambert GmbH,„Multiparameter Atemgasdiagnostik - Technik“,2008,"156,580.00"
"Wasser- und Abwasserzweckverband 
Demmin/Altentreptow","Ortsentwässerung Demmin, Schmutzwasserkanalisation Devener 
Siedlung",2008,"156,200.00"
"ZV Wasserversorgung und Abwasserbeseitigung -
Festland Wolgast-","Verlegung von Schmutzwasserfreigefälle und -druckleitungen in 
der Wasserstraße in Wolgast",2008,"153,100.00"
AWO-Sozialdienst Rostock gGmbH ,"Installation einer Photovoltaikanlage auf einer Dachfläche des 
Seniorenzentrums Rostock / Stadtweide",2008,"152,559.00"
"K.Kermel, MV Hotel Beteiligungs GmbH, Hotel 
Vier Jahreszeiten Zingst Beteiligungs GmbH in 
""Villa Konzertgarten GbR"" und Hotel Vier 
Jahreszeiten Kühlungsborn GmbH","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18225 Ostseebad Kühlungsborn, Ostseeallee 12, Landkreis Bad 
Doberan",2008,"149,500.00"
Forschungszentrum Wismar e.V.,"„PECVD-Abscheidung modifizierter Karbonbeschichtungen für 
medizinische Implantate“",2007,"144,000.00"
BFPI Büro für praktische Informatik GmbH,„Knowledge Grid“,2008,"143,500.00"
ROMAG Nord GmbH ,"Errichtung einer Betriebsstätte zur herstellung, Konstruktion und 
Entwicklung von Maschinen und Anlagen (vorwiegend für die 
Autoindustrie) in 17309 Pasewalk, Friedenstraße 7, Landkreis 
Uecker-Randow",2008,"141,800.00"
"Rene Drühl und Sylvio Jestrabek in GbR 
""Kletterwald Müritz""","Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Waldseilpark) in 17192 Waren (Müritz), Kameruner Weg 13, 
landkreis Müritz",2008,"138,100.00"
Gemeinde Trollenhagen durch das Amt Neverin,"Rahmenplanung Erschließung Gewerbe- und Industriegebiet 
Neubrandenburg - Trollenhagen",2008,"133,334.00"
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin",Neubau von Landesstraßen,2008,"132,012.93"
Schlie Hydraulik-Service GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von 
Dienstleistungen auf dem Gebiet der hydraulischen Antriebs- und 
Regelungstechnik in 18146 Rostock, Am Liepengraben 7a, 
kreisfreie Hansestadt Rostock",2007,"131,200.00"
Pirateninsel Rügen GmbH ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Indoor - 
Spielplatz) in 18581 Putbus, Lauterbacher Straße 10, Landkreis 
Rügen",2007,"130,800.00"
BROWN IPOS GmbH,"Hybride Infrastrukturnetze am Beipiel von integrierten WiMAX/DVB-
Netzen mit hohem Nutzkomfort",2008,"129,840.00"
Jowa Germany GmbH,„Entwicklung eines komplexen Ballastwasserbehandlungssystems“,2008,"129,010.00"
Hansestadt Stralsund ,Entwässerung nördliche Hafeninsel Stralsund,2008,"126,029.00"
"NEUWOBA Neubrandenburger 
Wohnnungsbaugenooschaft e.G. GIMPEX 
Neubrandenburg Handelsgesellschaft mbH",Errichtung einer auf Biomasse basierenden Heizungsanlage,2008,"125,700.00"
Mecklenburger Kartoffel Veredlung GmbH,“Texturverbesserung von Kartoffeltrockenprodukten“,2007,"125,230.00"
"Kommunaler Sozialverband Mecklenburg-
Vorpommern ","Weiterentwicklung vorhandener einfacher EDV-Verfahren und 
–Technik als Voraussetzung der darüber hinaus neu 
einzuführenden nutzerfreundlichen 
Methoden und Instrumente der Transaktionsabwicklung mit 
Unternehmen als Vertragspartner ",2008,"124,500.00"
Hansestadt Stralsund ,"Ausstattung von 4 PC-Fachräumen an den Beruflichen Schulen 
der Hansestadt Stralsund",2008,"123,100.00"
Hochschule Wismar ,"1. Stereo-Zoom- Mikroskop,2. Heiz-Kühl-Mischer",2008,"122,786.50"
G. Popp Betonstein + Naturstein KG ,"Errichtung einer Betriebsstätte zur Herstellung von Beton- und 
Naturwerksteinen in 19246 Valluhn, Am Heisterbusch 18, 
Landkreis Ludwigslust",2007,"122,400.00"
Hochschule Wismar ,"1. Hydraulische Flachzeugspanne, 2. Wärmeleitmessgerät,3. 
Kooperierendes Robotersystem",2008,"121,000.00"
Klaus-Dieter Stegemann ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Pension) 
in 17252 Mirow, Strandstraße 20, Landkreis Mecklenburg-Strelitz",2007,"118,400.00"
FNT Anlagenbau GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von Anlagen der 
Wasser- und Abwassertechnik in 17166 Groß Wokern, Am 
Steinbrink 5, Landkreis Güstrow",2008,"117,500.00"
"SEETEL Verwaltungsgesellschaft mbH & Co. KG 
Usedom","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel 
""Ostseehotel"") in 17419 Seebad Heringsdorf, OT Ahlbeck, 
Dünenstraße 41, Landkreis Ostvorpommern",2007,"117,500.00"
"Mrowiec Grundbesitz GmbH & Co. KG 
(Besitzgesell.) Mrowiec Fenster-Türen-
Wintergärten GmbH (Betriebsgesell.)","Erweiterung einer Betriebsstätte zur Herstellung von 
Konstruktionsteilen, Fertigbauteilen und Ausbauelementen aus 
Holz und Aluminium in 19300 Grabow, OT Fresenbrügge, 
Kiefernweg 5, Landkreis Ludwigslust",2007,"116,600.00"
HS-Cooler GmbH Wittenburg ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Wärmetauschern in 19243 Wittenburg, Südring 2, Landkreis 
Ludwigslust",2007,"116,300.00"
"Zweckverband ""Kühlung"" Wasserversorgung & 
Abwasserbeseitigung",TW-Transportleitung Kühlungsborner Straße nach Heiligendamm,2007,"115,469.00"
Hochschule Wismar ,"1. Ultraschallprüfgerät, 2. Gravimetrisches Dosiersystem, 3. 
Gebäudeautomations-und Informationsleitstelle, 4. Löttechnik, 5. 
Signalprozessor-Hardwareentwicklungssystem",2008,"113,820.00"
Vernetzte Gesundheit e. V. ,"Netzwerkmanagement Adipositas-Netzwerk Mecklenburg-
Vorpommern",2008,"112,500.00"
Stadt Bad Doberan ,Neubau eines Rettungsturms Heiligendamm Mitte,2008,"111,760.00"
SkySails GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Antriebselementen für ein Zugdrachensystem in 23966 Wismar, 
Am Westhafen 5 (A-Fördergebiet)",2007,"110,100.00"
"Universität Rostock, Medizinische Fakultät, 
Arbeitsbereich Zellbiologie, Frau Dr. Kirsten 
Peters, He",„Tissue Engineering von Fett- und Knochengewebe“ ,2008,"108,900.00"
Evonik Gorapur GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Trennmitteln 
für die kunststoffverarbeitende Industrie in 19243 Wittenburg, 
Rudolf-Diesel-Str. 3, Landkreis Ludwigslust",2007,"105,800.00"
"E.-M.-Arndt-Universität Der Kanzler - Dezernat 
Finanzen","Gesundheitsorientierter Tourismus in Mecklenburg-Vorpommern: 
Untersuchung zur Erwatungshaltung der Gäste unter besonderer 
Berücksichtigung des Marktsegments Medical Wellness (Prof. Dr. 
Rulle - Institut für Geographie und Geologie)",2008,"103,440.00"
Dethloff  Lange GmbH,“Entwicklung einer Strömungskraftmaschine mit neuartigem Rotor“,2008,"102,190.00"
"DST Diagnostische Systeme & Technologien 
GmbH","Erweiterung einer Betriebsstätte zur Herstellung von medizinischen
Geräten in 19061 Schwerin, Hagenower Str. 73, kreisfreie 
Landeshauptstadt Schwerin",2008,"101,700.00"
BREMI Fahrzeug-Elektrik GmbH & Co. KG (BFE),"Erweiterung einer Betriebssta_tte zur Herstellung von autoelektrischen Teilen in 19303 Do_mitz, Gru_ner Weg 1, Landkreis Ludwigslust",2007,"101,600.00"
NeuroProof GmbH,"Tandemchip - Entwicklung eines Tandemchips, der die 
Kultivierung zweier unterschiedlicher Zellkulturansätze ermöglicht, 
wobei eine Mischkultur ausgebildet wird, um einen höheren 
Durchsatz bei Substanztestungen zu ermöglichen..",2008,"101,310.00"
"WIND-consult Ingenieurgesellschaft für 
umweltschonende Energieumwandlung mbH","""Berechnungsverfahren zur Klassifizierung von 
Schalenkreuzanemometern""",2008,"100,900.00"
"Zweckverband ""Energie- & Technologie- Standort 
Freesendorf""","Machbarkeitsstudie - Ansiedlung maritim geprägter Industrie im 
Industrie- und Gewerbegebiet Lubminer Heide",2008,"100,000.00"
"ROTA GmbH Forschungs- und 
Produktionsbetrieb für Kunststofformteile mbH","Errichtung einer Betriebsstätte zur Herstellung und Entwicklung 
von Kunststoffprodukten in 19258 Boizenburg, Am Gammgraben 
2, Landkreis Ludwigslust",2007,"98,600.00"
"Henkel Beiz- und Elektropoliertechnik GmbH & 
Co. KG","Erweiterung einer Betriebsstätte zum Beizen und Elektropolieren 
von Edelstählen in 19306 Neustadt-Glewe, An der Autobahn 12, 
Landkreis Ludwigslust",2007,"98,000.00"
GATRON GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Messgeräten 
(Online-Gastronomie) in 17489 Greifswald, Brandteichstraße 20, 
kreisfreie Hansestadt Greifswald",2007,"97,500.00"
Müritz-Wasser-/Abwasserzweckverband,"Ortsentwässerung Waren, Schmutzwasserkanalisation Große 
Gasse und Glockengießer Weg",2008,"97,000.00"
Argudent GmbH,"Verfahrensentwicklung zur Rohteilherstellung aus Zirkonoxid und 
faserverstärkten Kunststoffen - Entwicklung von Verfahren zur 
Rohteilherstellung aus Zirkonoxid und faserverstärkten 
Kunststoffen für den Dentalbereich.",2008,"95,710.00"
Petra Marbach-Oehme ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Gutshaus 
Poppelvitz) in 18574 Garz, Poppelvitz 8, Landkreis Rügen",2007,"93,000.00"
Com In GmbH & Co. KG Consulting + Solutions,"Erweiterung einer Betriebsstätte zur Datenverarbeitung in 19053 
Schwerin, Graf-Schack-Allee 11, kreisfreie Stadt Schwerin",2008,"92,700.00"
RoweMed AG - Medical 4 Life,"„Mikrostrukturiertes Bolus Management System zur aktiven 
manuellen Wirkstoffapplikation“",2008,"92,310.00"
Gemeinde Lalendorf ,"Errichtung und Betrieb einer PV-Anlage, Straße der Jugend 1-1a, 
18279 Vogelsang",2008,"91,602.79"
"Universität Rostock, Orthopädische Klinik und 
Poliklinik, Forschungslabor",„Bonet 3D-Zellkultursystem“,2008,"90,485.00"
Ernst-Moritz-Arndt Universität Greifswald,Mobile WiMAX Station,2008,"90,000.00"
"Lang Metallwarenproduktion Neubrandenburg 
GmbH","„Entwicklung Verfahren zur Oberflächenkontrolle von 
Tiefziehteilen“",2008,"89,950.00"
Fachhochschule Neubrandenburg ,"1. Meßarm 2. Gassensoren 3. Rancimat 4. 
Meßbereichserweiterung 5. Kameraeinheit 6. Labortrockenschrank 
7. Software",2008,"85,800.00"
Müritz-Wasser-/Abwasserzweckverband,"Ortsentwässerung Waren; Schmutzwasserkanalisation 
Bahnhofstraße 2. BA und Güstrower Straße",2008,"85,200.00"
Wasser- und Abwasser-Verband Ueckermünde,"Schmutzwasserkanalisation Eggesin, Fritz-Reuter-Weg und 
Ueckermünder Straße Ausbau",2007,"85,200.00"
MIKA-Schweißtechnik GmbH,"“Entwicklung einer Systemlösung für die automatisierte Fertigung 
und Repara-tur von Schlauchpaketen“",2008,"84,280.00"
"Ruhwald Fenster Türen Wintergärten GmbH 
(Betriebsgesell.) Dirk Ruhwald (Besitzgesell.)","Erweiterung einer Betriebsstätte zur Herstellung von 
Holzelementen in 19306 Neustadt-Glewe, Gewerbegebiet an der A 
24, Landkreis Ludwigslust",2007,"82,700.00"
Dr. Frankenstein Computersysteme GmbH,"„Verfahren zur Positionsbestimmung von mobilen Radlastwaagen 
für Flugzeuge“",2008,"81,710.00"
Gemeinde Lalendorf ,"Errichtung und Betrieb einer PV-Anlage, Wiesenweg 1, 18279 
Wattmannshagen",2008,"81,430.19"
IFQ GmbH,„Messeinrichtung zur Messung großer Baugruppen“,2008,"79,049.00"
"SPM - New Service and Projektmanagement 
GmbH",„OPTIPIPER“,2008,"77,650.00"
MFT Fenster GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
isolierverglasten Kunststofffenstern und -türen in 19372 Spornitz, 
Im Gewerbegebiet 1, Landkreis Parchim",2007,"77,500.00"
IMG Ingenieurtechnik und Maschinenbau GmbH,„Badsi (Badsicherung)“,2008,"77,000.00"
Stadt Dömitz durch das Amt Dömitz - Malliß,"Errichtung einer Wärmepumpenanlage für das Gebäude 
""Hauptwache"" auf der Festung Dömitz",2008,"77,000.00"
"Universität Rostock, Medizinische Fakultät, 
Zentrum für Medizinische Forschung, 
Arbeitsbereich Zellb",„Regulation der Zellphysiologie in Volumenkörpern“,2008,"76,521.00"
"Universität Rostock, Medizinische Fakultät Klinik 
und Polyklinik für Anästhesie und Intensivtherapie","„Atemgasanalyse für die Diagnose entzündlicher neoplastischer 
Lungenerkran-kungen“ - Das Vorhaben beinhaltet grundlegende 
Forschungsarbeiten zum Thema „Multiparameter 
Atemgasdiagnostik“.",2008,"75,902.00"
Thomas Gesche Bäckerei - Konditorei,"Entwicklung von neuen Dinkelbackwaren unter Einsatz regionaler 
funktioneller Inhaltsstoffe in Form von mikroverkapselten Pflanzen-
konzentraten.",2008,"72,210.00"
"Zweckverband Wasserversorgung und 
Abwasserbeseitigung Grevesmühlen","Energieeinsparung/Verbesserung der Energieeffizienz Kläranlage 
Boltenhagen",2008,"71,995.00"
"ZV Wasserversorgung u. Abwasserbehandlung 
Rügen","Schmutzwasserentsorgung Bergen 
Arkonastraße 1. BA",2008,"71,700.00"
ANOVA Multimedia Studios GmbH,„XML-editools“,2008,"71,650.00"
"Universität Rostock Fakultät für Informatik und 
Elektrotechnik Institut für Gerätesysteme und 
Schalt","„Kapazitätsmessungen an Osteoblastenzellen in einem 3D-
Zellkultursystem“ ",2008,"69,924.00"
